"Time","orderers","peers","Total"
2024-08-04 13:12:00,0.123,3.75,3.75
2024-08-04 13:12:15,0.151,3.95,3.95
2024-08-04 13:12:30,0.225,3.96,3.96
2024-08-04 13:12:45,0.277,4.03,4.03
2024-08-04 13:13:00,0.308,3.96,3.96
2024-08-04 13:13:15,0.343,4.25,4.25
2024-08-04 13:13:30,0.396,4.22,4.22
2024-08-04 13:13:45,0.432,4.40,4.40
2024-08-04 13:14:00,0.407,4.28,4.28
2024-08-04 13:14:15,0.486,4.45,4.45
2024-08-04 13:14:30,0.515,4.44,4.44
2024-08-04 13:14:45,0.518,4.36,4.36
2024-08-04 13:15:00,0.561,4.51,4.51
2024-08-04 13:15:15,0.618,4.74,4.74
2024-08-04 13:15:30,0.610,4.71,4.71
2024-08-04 13:15:45,0.676,4.59,4.59
2024-08-04 13:16:00,0.719,4.69,4.69
2024-08-04 13:16:15,0.690,4.78,4.78
2024-08-04 13:16:30,0.691,4.80,4.80
2024-08-04 13:16:45,0.692,4.85,4.85
2024-08-04 13:17:00,0.692,4.83,4.83
