"Time","Total","Peers","Orderers"
2024-07-31 09:30:45,0.583,0.131,0.000552
2024-07-31 09:31:00,0.583,0.131,0.000552
2024-07-31 09:31:15,0.583,0.131,0.000555
2024-07-31 09:31:30,0.583,0.131,0.000555
2024-07-31 09:31:45,0.583,0.131,0.000555
2024-07-31 09:32:00,0.583,0.131,0.000555
2024-07-31 09:32:15,0.583,0.131,0.000656
2024-07-31 09:32:30,0.583,0.131,0.000656
2024-07-31 09:32:45,0.583,0.131,0.000656
2024-07-31 09:33:00,0.583,0.131,0.000656
2024-07-31 09:33:15,0.589,0.136,0.00234
2024-07-31 09:33:30,0.589,0.136,0.00234
2024-07-31 09:33:45,0.589,0.136,0.00234
2024-07-31 09:34:00,0.589,0.136,0.00234
2024-07-31 09:34:15,0.596,0.140,0.00401
2024-07-31 09:34:30,0.596,0.140,0.00401
2024-07-31 09:34:45,0.596,0.140,0.00401
2024-07-31 09:35:00,0.596,0.140,0.00401
2024-07-31 09:35:15,0.602,0.145,0.00568
2024-07-31 09:35:30,0.602,0.145,0.00568
2024-07-31 09:35:45,0.602,0.145,0.00568
2024-07-31 09:36:00,0.602,0.145,0.00568
2024-07-31 09:36:15,0.608,0.149,0.00726
2024-07-31 09:36:30,0.608,0.149,0.00726
2024-07-31 09:36:45,0.608,0.149,0.00726
2024-07-31 09:37:00,0.608,0.149,0.00726
2024-07-31 09:37:15,0.608,0.149,0.00726
2024-07-31 09:37:30,0.608,0.149,0.00726
2024-07-31 09:37:45,0.608,0.149,0.00726
