"Time","Total","Peers","Orderers"
2024-07-31 11:18:00,0.688,0.154,0.000656
2024-07-31 11:18:15,0.688,0.154,0.000656
2024-07-31 11:18:30,0.688,0.154,0.000656
2024-07-31 11:18:45,0.688,0.154,0.000828
2024-07-31 11:19:00,0.688,0.154,0.000828
2024-07-31 11:19:15,0.688,0.154,0.000828
2024-07-31 11:19:30,0.692,0.158,0.000828
2024-07-31 11:19:45,0.696,0.160,0.00280
2024-07-31 11:20:00,0.696,0.160,0.00280
2024-07-31 11:20:15,0.696,0.160,0.00280
2024-07-31 11:20:30,0.696,0.160,0.00280
2024-07-31 11:20:45,0.703,0.165,0.00476
2024-07-31 11:21:00,0.703,0.165,0.00476
2024-07-31 11:21:15,0.703,0.165,0.00476
2024-07-31 11:21:30,0.705,0.167,0.00476
2024-07-31 11:21:45,0.710,0.171,0.00672
2024-07-31 11:22:00,0.710,0.171,0.00672
2024-07-31 11:22:15,0.710,0.171,0.00672
2024-07-31 11:22:30,0.712,0.172,0.00672
2024-07-31 11:22:45,0.717,0.175,0.00854
2024-07-31 11:23:00,0.717,0.175,0.00854
2024-07-31 11:23:15,0.717,0.175,0.00854
2024-07-31 11:23:30,0.717,0.175,0.00854
