"Time","All machines","machine69","machine70","machine77"
2024-07-31 11:18:00,4.10,1.79,1.17,1.21
2024-07-31 11:18:15,4.18,1.79,1.20,1.21
2024-07-31 11:18:30,4.44,1.83,1.20,1.21
2024-07-31 11:18:45,4.76,1.83,1.27,1.35
2024-07-31 11:19:00,4.62,1.83,1.34,1.35
2024-07-31 11:19:15,4.89,1.83,1.41,1.42
2024-07-31 11:19:30,4.80,2.05,1.41,1.42
2024-07-31 11:19:45,4.87,2.05,1.47,1.44
2024-07-31 11:20:00,4.99,2.05,1.46,1.44
2024-07-31 11:20:15,4.96,2.05,1.44,1.41
2024-07-31 11:20:30,5.09,2.16,1.46,1.41
2024-07-31 11:20:45,5.07,2.16,1.55,1.54
2024-07-31 11:21:00,5.24,2.16,1.55,1.54
2024-07-31 11:21:15,5.35,2.16,1.56,1.58
2024-07-31 11:21:30,5.42,2.25,1.61,1.58
2024-07-31 11:21:45,5.46,2.25,1.65,1.62
2024-07-31 11:22:00,5.47,2.25,1.66,1.62
2024-07-31 11:22:15,5.54,2.25,1.59,1.66
2024-07-31 11:22:30,5.63,2.27,1.59,1.66
2024-07-31 11:22:45,5.64,2.27,1.62,1.69
2024-07-31 11:23:00,5.63,2.27,1.62,1.69
2024-07-31 11:23:15,5.49,2.27,1.69,1.70
2024-07-31 11:23:30,5.75,2.31,1.69,1.70
