"Time","All machines","machine69","machine70","machine77"
2024-07-31 12:55:30,13.3,11.6,7.90,7.55
2024-07-31 12:55:45,13.5,11.6,8.17,7.97
2024-07-31 12:56:00,13.5,11.6,8.17,7.97
2024-07-31 12:56:15,13.9,11.6,8.24,7.95
2024-07-31 12:56:30,14.3,12.4,8.15,7.95
2024-07-31 12:56:45,14.9,12.4,8.39,8.58
2024-07-31 12:57:00,14.9,12.4,8.21,8.58
2024-07-31 12:57:15,14.7,12.4,8.65,8.74
2024-07-31 12:57:30,15.1,13.0,8.80,8.74
2024-07-31 12:57:45,16.0,13.0,8.90,8.98
2024-07-31 12:58:00,16.2,13.0,9.50,8.98
2024-07-31 12:58:15,16.3,13.0,9.39,9.60
2024-07-31 12:58:30,16.1,13.3,9.75,9.60
2024-07-31 12:58:45,16.6,13.3,9.74,9.22
2024-07-31 12:59:00,16.8,13.3,9.75,9.22
2024-07-31 12:59:15,17.0,13.3,9.97,10.1
2024-07-31 12:59:30,17.3,14.3,10.1,10.1
2024-07-31 12:59:45,17.6,14.3,10.4,10.2
2024-07-31 13:00:00,17.9,14.3,10.4,10.2
2024-07-31 13:00:15,17.6,14.3,10.6,10.7
2024-07-31 13:00:30,17.5,14.5,10.6,10.7
2024-07-31 13:00:45,17.6,14.5,10.6,10.6
2024-07-31 13:01:00,17.5,14.5,10.3,10.6
