"Time","machine69","machine70","Total","machine77"
2024-07-31 14:39:30,,247,752,255
2024-07-31 14:39:45,,316,961,339
2024-07-31 14:40:00,0,426,1155,340
2024-07-31 14:40:15,0,428,1455,500
2024-07-31 14:40:30,,535,1506,508
2024-07-31 14:40:45,,328,1510,530
2024-07-31 14:41:00,0,501,1472,523
2024-07-31 14:41:15,0,434,1434,496
2024-07-31 14:41:30,0,480,1430,496
2024-07-31 14:41:45,0,451,1449,499
2024-07-31 14:42:00,0,492,1547,498
2024-07-31 14:42:15,0.0000856,309,1678,620
2024-07-31 14:42:30,0,647,1670,622
2024-07-31 14:42:45,0,351,1610,523
2024-07-31 14:43:00,0,493,1499,521
2024-07-31 14:43:15,0,358,1451,507
2024-07-31 14:43:30,0,496,1450,506
2024-07-31 14:43:45,0,351,1247,450
2024-07-31 14:44:00,0,365,1085,448
2024-07-31 14:44:15,0.000177,223,822,265
