"Time","All machines","machine69","machine70","machine77"
2024-07-31 14:39:30,0.000409,0.000273,0.000136,0.000136
2024-07-31 14:39:45,0.000688,0.000273,0.000136,0.000230
2024-07-31 14:40:00,0.000688,0.000273,0.000234,0.000230
2024-07-31 14:40:15,0.000688,0.000273,0.000234,0.000230
2024-07-31 14:40:30,0.000688,0.000448,0.000234,0.000230
2024-07-31 14:40:45,0.00289,0.000448,0.000964,0.000964
2024-07-31 14:41:00,0.00289,0.000448,0.000964,0.000964
2024-07-31 14:41:15,0.00289,0.000448,0.000964,0.000964
2024-07-31 14:41:30,0.00289,0.00193,0.000964,0.000964
2024-07-31 14:41:45,0.00509,0.00193,0.00169,0.00169
2024-07-31 14:42:00,0.00509,0.00193,0.00169,0.00169
2024-07-31 14:42:15,0.00509,0.00193,0.00169,0.00169
2024-07-31 14:42:30,0.00509,0.00341,0.00169,0.00169
2024-07-31 14:42:45,0.00728,0.00341,0.00242,0.00242
2024-07-31 14:43:00,0.00728,0.00341,0.00242,0.00242
2024-07-31 14:43:15,0.00728,0.00341,0.00242,0.00242
2024-07-31 14:43:30,0.00728,0.00488,0.00242,0.00242
2024-07-31 14:43:45,0.00924,0.00488,0.00242,0.00307
2024-07-31 14:44:00,0.00924,0.00488,0.00307,0.00307
2024-07-31 14:44:15,0.00924,0.00488,0.00307,0.00307
