"Time","All machines","machine69","machine70","machine77"
2024-07-31 14:39:30,4.59,,0,0
2024-07-31 14:39:45,16.9,,0,0
2024-07-31 14:40:00,96.5,,0,0
2024-07-31 14:40:15,89.3,,0,1.39
2024-07-31 14:40:30,93.6,,0,1.90
2024-07-31 14:40:45,12.7,,0,6.94
2024-07-31 14:41:00,12.8,,0,9.41
2024-07-31 14:41:15,272,,2.06,0
2024-07-31 14:41:30,302,0,3.08,0
2024-07-31 14:41:45,284,0,0,0
2024-07-31 14:42:00,320,0,0,0
2024-07-31 14:42:15,79.3,0,0,2.76
2024-07-31 14:42:30,76.5,,0,3.76
2024-07-31 14:42:45,66.1,0,0,58.7
2024-07-31 14:43:00,62.4,0,0,79.8
2024-07-31 14:43:15,103,,0,12.8
2024-07-31 14:43:30,102,0,0,17.4
2024-07-31 14:43:45,92.1,,0,0
2024-07-31 14:44:00,90.2,0,0,0
2024-07-31 14:44:15,1.03,0,0,0
