"Time","Total","Peers","Orderers"
2024-07-31 18:05:30,21.1,17.3,3.83
2024-07-31 18:05:45,38.6,29.4,9.16
2024-07-31 18:06:00,65.8,52.8,13.0
2024-07-31 18:06:15,76.5,60.6,15.9
2024-07-31 18:06:30,76.4,60.5,15.9
2024-07-31 18:06:45,76.8,60.9,15.9
2024-07-31 18:07:00,76.5,60.7,15.8
2024-07-31 18:07:15,77.6,61.5,16.1
2024-07-31 18:07:30,78.4,62.3,16.2
2024-07-31 18:07:45,78.2,62.1,16.0
2024-07-31 18:08:00,77.3,61.3,16.1
2024-07-31 18:08:15,75.3,59.9,15.5
2024-07-31 18:08:30,73.5,58.3,15.2
2024-07-31 18:08:45,71.4,57.2,14.2
2024-07-31 18:09:00,69.9,55.9,14.0
2024-07-31 18:09:15,69.1,55.3,13.8
2024-07-31 18:09:30,53.5,42.1,11.4
2024-07-31 18:09:45,38.4,31.8,6.64
2024-07-31 18:10:00,15.0,11.6,3.40
2024-07-31 18:10:15,4.48,3.80,0.680
