"Time","machine69","machine70","All Machines","machine77"
2024-07-31 18:05:30,0.344,0.175,0.694,0.175
2024-07-31 18:05:45,0.344,0.175,0.694,0.175
2024-07-31 18:06:00,0.344,0.175,0.694,0.175
2024-07-31 18:06:15,0.344,0.175,0.694,0.175
2024-07-31 18:06:30,0.347,0.175,0.702,0.175
2024-07-31 18:06:45,0.347,0.177,0.702,0.177
2024-07-31 18:07:00,0.347,0.177,0.702,0.177
2024-07-31 18:07:15,0.347,0.177,0.702,0.177
2024-07-31 18:07:30,0.350,0.177,0.709,0.177
2024-07-31 18:07:45,0.350,0.179,0.709,0.179
2024-07-31 18:08:00,0.350,0.179,0.709,0.179
2024-07-31 18:08:15,0.350,0.181,0.709,0.179
2024-07-31 18:08:30,0.354,0.181,0.716,0.179
2024-07-31 18:08:45,0.354,0.181,0.716,0.181
2024-07-31 18:09:00,0.354,0.181,0.716,0.181
2024-07-31 18:09:15,0.354,0.183,0.716,0.181
2024-07-31 18:09:30,0.357,0.183,0.723,0.181
2024-07-31 18:09:45,0.357,0.183,0.723,0.183
2024-07-31 18:10:00,0.357,0.183,0.723,0.183
2024-07-31 18:10:15,0.357,0.183,0.723,0.183
