"Time","orderers","peers","Total"
2024-07-31 18:05:30,0.179,4.53,4.53
2024-07-31 18:05:45,0.232,4.61,4.61
2024-07-31 18:06:00,0.285,4.46,4.46
2024-07-31 18:06:15,0.329,4.74,4.74
2024-07-31 18:06:30,0.331,4.71,4.71
2024-07-31 18:06:45,0.377,4.76,4.76
2024-07-31 18:07:00,0.435,4.79,4.79
2024-07-31 18:07:15,0.386,4.87,4.87
2024-07-31 18:07:30,0.444,4.95,4.95
2024-07-31 18:07:45,0.496,4.91,4.91
2024-07-31 18:08:00,0.493,4.96,4.96
2024-07-31 18:08:15,0.505,4.98,4.98
2024-07-31 18:08:30,0.567,4.97,4.97
2024-07-31 18:08:45,0.616,5.15,5.15
2024-07-31 18:09:00,0.580,5.18,5.18
2024-07-31 18:09:15,0.630,5.21,5.21
2024-07-31 18:09:30,0.641,5.12,5.12
2024-07-31 18:09:45,0.641,5.17,5.17
2024-07-31 18:10:00,0.643,5.19,5.19
2024-07-31 18:10:15,0.643,5.15,5.15
