"Time","machine69","machine70","All Machines","machine77"
2024-07-31 18:44:00,0.585,0.299,0.592,0.150
2024-07-31 18:44:15,0.585,0.299,0.593,0.150
2024-07-31 18:44:30,0.586,0.299,0.593,0.150
2024-07-31 18:44:45,0.586,0.300,0.593,0.150
2024-07-31 18:45:00,0.586,0.300,0.593,0.150
2024-07-31 18:45:15,0.586,0.300,0.599,0.150
2024-07-31 18:45:30,0.592,0.303,0.599,0.150
2024-07-31 18:45:45,0.592,0.303,0.599,0.151
2024-07-31 18:46:00,0.592,0.303,0.599,0.151
2024-07-31 18:46:15,0.592,0.306,0.605,0.151
2024-07-31 18:46:30,0.598,0.306,0.605,0.151
2024-07-31 18:46:45,0.598,0.306,0.605,0.153
2024-07-31 18:47:00,0.598,0.306,0.605,0.153
2024-07-31 18:47:15,0.598,0.309,0.611,0.153
2024-07-31 18:47:30,0.604,0.309,0.611,0.153
2024-07-31 18:47:45,0.604,0.309,0.611,0.155
2024-07-31 18:48:00,0.604,0.309,0.611,0.155
2024-07-31 18:48:15,0.604,0.309,0.617,0.155
2024-07-31 18:48:30,0.609,0.312,0.617,0.155
2024-07-31 18:48:45,0.609,0.312,0.617,0.156
2024-07-31 18:49:00,0.609,0.312,0.617,0.156
