"Time","orderers","peers","Total"
2024-07-31 19:36:00,0.392,13.0,13.0
2024-07-31 19:36:15,0.602,13.7,13.7
2024-07-31 19:36:30,0.801,14.1,14.1
2024-07-31 19:36:45,0.988,14.4,14.4
2024-07-31 19:37:00,1.00,14.0,14.0
2024-07-31 19:37:15,1.20,14.3,14.3
2024-07-31 19:37:30,1.36,14.7,14.7
2024-07-31 19:37:45,1.26,14.9,14.9
2024-07-31 19:38:00,1.38,15.3,15.3
2024-07-31 19:38:15,1.65,15.2,15.2
2024-07-31 19:38:30,1.51,15.0,15.0
2024-07-31 19:38:45,1.72,15.5,15.5
2024-07-31 19:39:00,1.90,15.5,15.5
2024-07-31 19:39:15,1.83,15.4,15.4
2024-07-31 19:39:30,1.94,15.5,15.5
2024-07-31 19:39:45,2.20,16.2,16.2
2024-07-31 19:40:00,2.10,16.3,16.3
2024-07-31 19:40:15,2.17,16.1,16.1
2024-07-31 19:40:30,2.17,16.0,16.0
2024-07-31 19:40:45,2.18,16.7,16.7
2024-07-31 19:41:00,2.18,16.7,16.7
