"Time","All machines","machine69","machine70","machine77"
2024-06-23 21:19:15,200207,69762,65510,65642
2024-06-23 21:19:30,200575,70949,64670,64997
2024-06-23 21:19:45,210893,78292,65515,65643
2024-06-23 21:20:00,208015,76278,66222,66347
2024-06-23 21:20:15,558146,234520,81948,77119
2024-06-23 21:20:30,1700336,589159,612034,584796
2024-06-23 21:20:45,3214680,1272815,895265,859225
2024-06-23 21:21:00,4252627,1630862,1392363,1368490
2024-06-23 21:21:15,4605692,1788488,1410676,1415632
2024-06-23 21:21:30,4556972,1780304,1384697,1386316
2024-06-23 21:21:45,4519968,1768337,1376578,1379719
2024-06-23 21:22:00,4527254,1758500,1386953,1384737
2024-06-23 21:22:15,4539529,1761393,1385476,1385456
2024-06-23 21:22:30,4467555,1758109,1386082,1383412
2024-06-23 21:22:45,4507775,1753481,1379906,1380678
2024-06-23 21:23:00,4502161,1753500,1378351,1377600
2024-06-23 21:23:15,4490746,1737974,1373950,1375092
2024-06-23 21:23:30,4511933,1740479,1385071,1384960
2024-06-23 21:23:45,4508827,1731456,1390562,1388841
2024-06-23 21:24:00,4494829,1721888,1387135,1385611
2024-06-23 21:24:15,4275713,1629655,1378757,1382359
2024-06-23 21:24:30,3260911,1295268,883553,918887
2024-06-23 21:24:45,1686457,644425,615519,656499
2024-06-23 21:25:00,704262,298861,99986,115385
2024-06-23 21:25:15,201432,74065,63609,62958
