"Time","Total","Peers","Orderers","Couchdb"
2024-06-23 21:19:15,17425092413,1862401158,1862400422,1241601906
2024-06-23 21:19:30,17425106931,1862402713,1862401619,1241602797
2024-06-23 21:19:45,17425229690,1862415630,1862414879,1241611692
2024-06-23 21:20:00,17425291092,1862423180,1862418268,1241616619
2024-06-23 21:20:15,17425396208,1862432784,1862431895,1241623917
2024-06-23 21:20:30,17425568017,1862447038,1862448784,1241637614
2024-06-23 21:20:45,17425685098,1862455529,1862453977,1241647258
2024-06-23 21:21:00,17425818873,1862466924,1862465988,1241657074
2024-06-23 21:21:15,17426004513,1862481596,1862480032,1241672769
2024-06-23 21:21:30,17426066420,1862485202,1862483113,1241679268
2024-06-23 21:21:45,17426318124,1862507319,1862505464,1241698360
2024-06-23 21:22:00,17426391917,1862512828,1862510398,1241705078
2024-06-23 21:22:15,17426546941,1862523190,1862520902,1241716962
2024-06-23 21:22:30,17426756988,1862543902,1862540566,1241732785
2024-06-23 21:22:45,17426914052,1862554556,1862551953,1241746195
2024-06-23 21:23:00,17427069171,1862568103,1862565603,1241757350
2024-06-23 21:23:15,17427176352,1862574671,1862571750,1241767836
2024-06-23 21:23:30,17427298831,1862584173,1862580614,1241776236
2024-06-23 21:23:45,17427560264,1862607793,1862604483,1241797839
2024-06-23 21:24:00,17427637823,1862612890,1862608737,1241804965
2024-06-23 21:24:15,17427803416,1862626108,1862622510,1241817712
2024-06-23 21:24:30,17427856314,1862631708,1862628210,1241821426
2024-06-23 21:24:45,17427970547,1862643775,1862640183,1241829502
2024-06-23 21:25:00,17427987937,1862645274,1862641782,1241830934
2024-06-23 21:25:15,17428127795,1862660730,1862657145,1241840804
