"Time","Total","Peers","Orderers","Couchsdb"
2024-06-23 21:19:15,247396,2760,3255,469
2024-06-23 21:19:30,247492,2729,3259,409
2024-06-23 21:19:45,257837,3027,3314,482
2024-06-23 21:20:00,254309,2880,3212,323
2024-06-23 21:20:15,613971,13974,9853,1707
2024-06-23 21:20:30,1812644,47940,26011,6113
2024-06-23 21:20:45,3384987,91080,48548,10346
2024-06-23 21:21:00,4475029,128157,63409,14468
2024-06-23 21:21:15,4854020,129318,69213,15232
2024-06-23 21:21:30,4806274,128091,66461,15182
2024-06-23 21:21:45,4778544,126973,67437,15209
2024-06-23 21:22:00,4781661,127852,67295,15195
2024-06-23 21:22:15,4792801,128539,66982,15114
2024-06-23 21:22:30,4714366,128563,67003,14992
2024-06-23 21:22:45,4767568,127884,66774,14920
2024-06-23 21:23:00,4767577,127908,66346,14896
2024-06-23 21:23:15,4745488,128165,65466,14905
2024-06-23 21:23:30,4764199,128659,65675,14874
2024-06-23 21:23:45,4760883,129063,65180,15008
2024-06-23 21:24:00,4748909,128760,64986,14999
2024-06-23 21:24:15,4522056,123070,61041,14502
2024-06-23 21:24:30,3452702,88203,46863,10827
2024-06-23 21:24:45,1807029,46693,24439,5413
2024-06-23 21:25:00,773117,14819,9042,1553
2024-06-23 21:25:15,247876,2418,3151,80.7
