"Time","Total","Peers","Orderers"
2024-06-24 23:36:30,628,0.128,0.000562
2024-06-24 23:36:45,628,0.129,0.000860
2024-06-24 23:37:00,628,0.129,0.000938
2024-06-24 23:37:15,628,0.129,0.000938
2024-06-24 23:37:30,628,0.129,0.000938
2024-06-24 23:37:45,628,0.133,0.00238
2024-06-24 23:38:00,628,0.133,0.00262
2024-06-24 23:38:15,628,0.133,0.00262
2024-06-24 23:38:30,628,0.133,0.00262
2024-06-24 23:38:45,628,0.138,0.00404
2024-06-24 23:39:00,628,0.138,0.00427
2024-06-24 23:39:15,629,0.138,0.00427
2024-06-24 23:39:30,629,0.138,0.00427
2024-06-24 23:39:45,629,0.143,0.00571
2024-06-24 23:40:00,629,0.143,0.00595
2024-06-24 23:40:15,629,0.143,0.00595
2024-06-24 23:40:30,629,0.143,0.00595
2024-06-24 23:40:45,629,0.147,0.00712
2024-06-24 23:41:00,629,0.147,0.00727
2024-06-24 23:41:15,629,0.147,0.00727
2024-06-24 23:41:30,629,0.147,0.00727
