"Time","Total","Peers","Orderers","Couchdb"
2024-06-24 23:36:30,2602299025,29609,12626,2551
2024-06-24 23:36:45,2603595751,70076,31515,5999
2024-06-24 23:37:00,2604385147,89901,49394,9292
2024-06-24 23:37:15,2605699394,131944,64820,13752
2024-06-24 23:37:30,2606555017,152620,75862,16247
2024-06-24 23:37:45,2607762328,195855,96196,21441
2024-06-24 23:38:00,2608630978,223046,107876,25564
2024-06-24 23:38:15,2609828581,257110,128898,29177
2024-06-24 23:38:30,2610657767,286344,142856,32610
2024-06-24 23:38:45,2611872288,320632,161450,36993
2024-06-24 23:39:00,2612677132,349048,172792,39518
2024-06-24 23:39:15,2613957505,385428,194136,44770
2024-06-24 23:39:30,2614751823,405043,208530,48024
2024-06-24 23:39:45,2616037226,447773,227105,52343
2024-06-24 23:40:00,2616957065,474295,241269,54803
2024-06-24 23:40:15,2618084647,509483,258472,60043
2024-06-24 23:40:30,2618857973,534385,270941,62897
2024-06-24 23:40:45,2619022494,538053,273654,63303
2024-06-24 23:41:00,2619073674,538565,274385,63320
2024-06-24 23:41:15,2619151377,539214,275241,63352
2024-06-24 23:41:30,2619197858,539620,275962,63376
