"Time","Total","Peers","Orderers"
2024-06-23 22:05:15,3.50,2.84,0.660
2024-06-23 22:05:30,3.82,3.18,0.640
2024-06-23 22:05:45,3.92,3.24,0.680
2024-06-23 22:06:00,17.8,14.8,2.98
2024-06-23 22:06:15,35.6,27.5,8.10
2024-06-23 22:06:30,63.3,51.6,11.7
2024-06-23 22:06:45,78.0,62.9,15.1
2024-06-23 22:07:00,78.8,63.9,15.0
2024-06-23 22:07:15,78.9,63.8,15.1
2024-06-23 22:07:30,79.0,63.8,15.2
2024-06-23 22:07:45,78.3,63.1,15.1
2024-06-23 22:08:00,77.0,62.0,15.0
2024-06-23 22:08:15,75.9,61.3,14.7
2024-06-23 22:08:30,74.5,60.1,14.3
2024-06-23 22:08:45,73.8,59.9,13.9
2024-06-23 22:09:00,74.2,60.1,14.1
2024-06-23 22:09:15,75.1,60.9,14.1
2024-06-23 22:09:30,75.5,61.1,14.3
2024-06-23 22:09:45,75.5,61.2,14.2
2024-06-23 22:10:00,63.2,50.7,12.5
2024-06-23 22:10:15,47.0,39.2,7.82
2024-06-23 22:10:30,20.7,16.3,4.42
2024-06-23 22:10:45,5.48,4.84,0.640
2024-06-23 22:11:00,3.90,3.26,0.640
2024-06-23 22:11:15,3.78,3.14,0.640
