"Time","All machines","machine69","machine70","machine77"
2024-06-23 22:05:15,40.5,89.9,142,0
2024-06-23 22:05:30,2.31,102,133,0
2024-06-23 22:05:45,244,2.14,147,0
2024-06-23 22:06:00,272,2.35,93.3,0
2024-06-23 22:06:15,248,0,102,0
2024-06-23 22:06:30,95.6,86.6,89.4,0
2024-06-23 22:06:45,11.0,81.6,0,0
2024-06-23 22:07:00,9.67,93.0,0,0
2024-06-23 22:07:15,99.2,7.44,0,0
2024-06-23 22:07:30,87.1,5.77,0,0
2024-06-23 22:07:45,100,3.24,0,0
2024-06-23 22:08:00,89.6,4.69,0,50.9
2024-06-23 22:08:15,7.38,1.07,0,56.9
2024-06-23 22:08:30,9.16,9.41,0,52.6
2024-06-23 22:08:45,170,179,0,0
2024-06-23 22:09:00,199,206,64.8,0
2024-06-23 22:09:15,181,277,70.9,0
2024-06-23 22:09:30,200,303,65.0,0
2024-06-23 22:09:45,6.63,98.3,70.5,0
2024-06-23 22:10:00,6.70,5.88,0,1.07
2024-06-23 22:10:15,94.2,4.30,0,1.17
2024-06-23 22:10:30,110,3.57,0,1.08
2024-06-23 22:10:45,106,1.06,0,1.16
2024-06-23 22:11:00,24.6,0,0,83.9
2024-06-23 22:11:15,20.8,0,0,92.0
