"Time","All machines","machine69","machine70","machine77"
2024-06-23 22:05:15,1864760761,855664727,504543671,504542166
2024-06-23 22:05:30,1864809292,855677890,504567731,504565676
2024-06-23 22:05:45,1864870089,855705839,504577487,504576716
2024-06-23 22:06:00,1865323624,855873092,504768938,504746521
2024-06-23 22:06:15,1866486759,856473634,504942449,504916999
2024-06-23 22:06:30,1867290060,856788564,505282316,505265849
2024-06-23 22:06:45,1868410601,857393052,505451095,505422356
2024-06-23 22:07:00,1869106239,857685712,505790146,505767655
2024-06-23 22:07:15,1870341175,858291688,505960329,505931864
2024-06-23 22:07:30,1871025670,858595791,506298010,506271552
2024-06-23 22:07:45,1872233465,859185461,506465236,506436763
2024-06-23 22:08:00,1873017865,859497520,506799198,506776525
2024-06-23 22:08:15,1874153543,860103081,506963595,506939515
2024-06-23 22:08:30,1874857348,860385412,507302825,507285112
2024-06-23 22:08:45,1876055556,860981890,507468720,507440989
2024-06-23 22:09:00,1876738997,861273415,507795339,507771912
2024-06-23 22:09:15,1877937886,861866293,507965326,507939967
2024-06-23 22:09:30,1878648697,862160485,508302333,508275885
2024-06-23 22:09:45,1879828179,862766004,508467950,508449781
2024-06-23 22:10:00,1880270415,862970237,508652755,508651680
2024-06-23 22:10:15,1880331244,862995609,508663614,508662240
2024-06-23 22:10:30,1880370059,863007669,508683841,508682651
2024-06-23 22:10:45,1880428820,863030320,508695537,508693722
2024-06-23 22:11:00,1880469282,863043041,508715892,508714985
2024-06-23 22:11:15,1880528686,863066876,508726509,508725500
