"Time","All machines","machine69","machine70","machine77"
2024-06-23 22:05:15,341,235,224,223
2024-06-23 22:05:30,341,233,224,226
2024-06-23 22:05:45,343,233,226,225
2024-06-23 22:06:00,344,234,227,227
2024-06-23 22:06:15,346,238,226,226
2024-06-23 22:06:30,348,238,228,228
2024-06-23 22:06:45,349,239,229,229
2024-06-23 22:07:00,349,240,229,228
2024-06-23 22:07:15,350,239,231,229
2024-06-23 22:07:30,351,239,230,230
2024-06-23 22:07:45,352,240,231,231
2024-06-23 22:08:00,355,241,232,232
2024-06-23 22:08:15,357,243,234,235
2024-06-23 22:08:30,357,244,232,231
2024-06-23 22:08:45,358,245,235,235
2024-06-23 22:09:00,358,243,236,236
2024-06-23 22:09:15,359,246,235,234
2024-06-23 22:09:30,361,246,237,237
2024-06-23 22:09:45,362,246,237,238
2024-06-23 22:10:00,362,248,237,237
2024-06-23 22:10:15,362,246,237,237
2024-06-23 22:10:30,362,246,238,237
2024-06-23 22:10:45,362,248,237,236
2024-06-23 22:11:00,362,248,238,238
2024-06-23 22:11:15,361,245,238,238
