"Time","Total","Peers","Orderers","Couchsdb"
2024-06-23 22:05:15,3498,286,289,215
2024-06-23 22:05:30,3326,296,291,198
2024-06-23 22:05:45,1907,190,185,125
2024-06-23 22:06:00,772,14.3,17.5,11.6
2024-06-23 22:06:15,850,14.3,19.3,9.58
2024-06-23 22:06:30,1624,31.9,37.3,25.3
2024-06-23 22:06:45,1031,35.9,45.4,28.8
2024-06-23 22:07:00,712,22.2,26.0,28.3
2024-06-23 22:07:15,127,7.20,12.0,9.65
2024-06-23 22:07:30,29.7,0,2.36,5.44
2024-06-23 22:07:45,0,0,0,0
2024-06-23 22:08:00,460,0,0,0
2024-06-23 22:08:15,533,7.25,7.24,9.56
2024-06-23 22:08:30,542,7.51,7.41,9.65
2024-06-23 22:08:45,159,7.14,9.67,9.58
2024-06-23 22:09:00,985,35.0,60.6,32.2
2024-06-23 22:09:15,1180,59.7,70.7,36.4
2024-06-23 22:09:30,1081,56.2,73.4,35.9
2024-06-23 22:09:45,338,37.0,7.28,8.16
2024-06-23 22:10:00,33.0,7.25,0,0
2024-06-23 22:10:15,48.2,7.26,1.19,2.37
2024-06-23 22:10:30,96.1,9.73,7.07,4.74
2024-06-23 22:10:45,82.0,7.18,7.26,4.85
2024-06-23 22:11:00,220,16.3,21.8,11.4
2024-06-23 22:11:15,533,21.6,21.7,14.3
