"Time","Total","Peers","Orderers"
2024-06-23 23:25:15,765,0.151,0.000652
2024-06-23 23:25:30,765,0.151,0.000652
2024-06-23 23:25:45,765,0.151,0.000652
2024-06-23 23:26:00,765,0.151,0.000851
2024-06-23 23:26:15,765,0.151,0.000935
2024-06-23 23:26:30,765,0.151,0.000935
2024-06-23 23:26:45,765,0.151,0.000935
2024-06-23 23:27:00,765,0.157,0.00291
2024-06-23 23:27:15,765,0.157,0.00291
2024-06-23 23:27:30,765,0.157,0.00291
2024-06-23 23:27:45,765,0.157,0.00291
2024-06-23 23:28:00,765,0.162,0.00473
2024-06-23 23:28:15,766,0.162,0.00487
2024-06-23 23:28:30,766,0.162,0.00487
2024-06-23 23:28:45,766,0.162,0.00487
2024-06-23 23:29:00,766,0.168,0.00669
2024-06-23 23:29:15,766,0.168,0.00683
2024-06-23 23:29:30,766,0.168,0.00683
2024-06-23 23:29:45,766,0.168,0.00683
2024-06-23 23:30:00,766,0.172,0.00854
2024-06-23 23:30:15,766,0.172,0.00854
2024-06-23 23:30:30,766,0.172,0.00854
2024-06-23 23:30:45,766,0.172,0.00854
2024-06-23 23:31:00,766,0.172,0.00854
2024-06-23 23:31:15,766,0.172,0.00854
