"Time","All machines","machine69","machine70","machine77"
2024-06-23 23:25:15,0.000523,0.000179,0.000172,0.000172
2024-06-23 23:25:30,0.000523,0.000179,0.000172,0.000172
2024-06-23 23:25:45,0.000523,0.000179,0.000172,0.000172
2024-06-23 23:26:00,0.000851,0.000278,0.000286,0.000286
2024-06-23 23:26:15,0.000851,0.000278,0.000286,0.000286
2024-06-23 23:26:30,0.000851,0.000278,0.000286,0.000286
2024-06-23 23:26:45,0.000851,0.000278,0.000286,0.000286
2024-06-23 23:27:00,0.00345,0.00115,0.00115,0.00115
2024-06-23 23:27:15,0.00345,0.00115,0.00115,0.00115
2024-06-23 23:27:30,0.00345,0.00115,0.00115,0.00115
2024-06-23 23:27:45,0.00345,0.00115,0.00115,0.00115
2024-06-23 23:28:00,0.00602,0.00202,0.00200,0.00200
2024-06-23 23:28:15,0.00602,0.00202,0.00200,0.00200
2024-06-23 23:28:30,0.00602,0.00202,0.00200,0.00200
2024-06-23 23:28:45,0.00602,0.00202,0.00200,0.00200
2024-06-23 23:29:00,0.00861,0.00288,0.00286,0.00286
2024-06-23 23:29:15,0.00861,0.00288,0.00286,0.00286
2024-06-23 23:29:30,0.00861,0.00288,0.00286,0.00286
2024-06-23 23:29:45,0.00861,0.00288,0.00286,0.00286
2024-06-23 23:30:00,0.0109,0.00367,0.00362,0.00362
2024-06-23 23:30:15,0.0109,0.00367,0.00362,0.00362
2024-06-23 23:30:30,0.0109,0.00367,0.00362,0.00362
2024-06-23 23:30:45,0.0109,0.00367,0.00362,0.00362
2024-06-23 23:31:00,0.0109,0.00367,0.00362,0.00362
2024-06-23 23:31:15,0.0109,0.00367,0.00362,0.00362
