"Time","All machines","machine69","machine70","machine77"
2024-06-23 23:25:15,8729279,2936075,2896602,2896602
2024-06-23 23:25:30,8729159,2936075,2896542,2896542
2024-06-23 23:25:45,8729159,2936075,2896542,2896542
2024-06-23 23:26:00,8729159,2936075,2896542,2896542
2024-06-23 23:26:15,8730449,2937347,2896551,2896551
2024-06-23 23:26:30,8730694,2937587,2896560,2896560
2024-06-23 23:26:45,8730736,2937614,2896560,2896560
2024-06-23 23:27:00,8731104,2937836,2896634,2896634
2024-06-23 23:27:15,8731104,2937836,2896634,2896634
2024-06-23 23:27:30,8731141,2937836,2896634,2896634
2024-06-23 23:27:45,8731286,2937906,2896690,2896690
2024-06-23 23:28:00,8731798,2938080,2896938,2896923
2024-06-23 23:28:15,8732007,2938107,2896950,2896950
2024-06-23 23:28:30,8733189,2938107,2897541,2897541
2024-06-23 23:28:45,8733270,2938134,2897566,2897559
2024-06-23 23:29:00,8733300,2938164,2897568,2897568
2024-06-23 23:29:15,8733392,2938256,2897568,2897568
2024-06-23 23:29:30,8733216,2938256,2897491,2897491
2024-06-23 23:29:45,8733400,2938256,2897572,2897572
2024-06-23 23:30:00,8733400,2938256,2897572,2897572
2024-06-23 23:30:15,8733453,2938293,2897580,2897580
2024-06-23 23:30:30,8733315,2938155,2897580,2897580
2024-06-23 23:30:45,8733849,2938155,2897847,2897847
2024-06-23 23:31:00,8734125,2938155,2897985,2897985
2024-06-23 23:31:15,8734197,2938223,2897987,2897987
