"Time","All machines","machine69","machine70","machine77"
2024-06-23 23:25:15,109,37.6,35.8,35.7
2024-06-23 23:25:30,109,37.6,35.6,35.5
2024-06-23 23:25:45,109,37.8,35.8,35.6
2024-06-23 23:26:00,110,37.6,36.1,36.2
2024-06-23 23:26:15,111,38.4,36.4,36.4
2024-06-23 23:26:30,111,38.3,35.9,35.9
2024-06-23 23:26:45,111,38.4,36.3,36.2
2024-06-23 23:27:00,112,38.1,36.8,36.7
2024-06-23 23:27:15,112,38.6,36.8,36.9
2024-06-23 23:27:30,112,38.6,36.6,36.6
2024-06-23 23:27:45,113,38.5,36.9,36.9
2024-06-23 23:28:00,113,39.3,37.1,37.1
2024-06-23 23:28:15,113,38.7,37.3,37.4
2024-06-23 23:28:30,114,39.2,37.5,37.4
2024-06-23 23:28:45,114,39.4,37.0,36.9
2024-06-23 23:29:00,114,39.3,37.2,37.0
2024-06-23 23:29:15,115,39.9,37.7,37.6
2024-06-23 23:29:30,115,39.5,37.7,37.7
2024-06-23 23:29:45,115,39.4,37.8,37.7
2024-06-23 23:30:00,115,39.3,37.7,37.6
2024-06-23 23:30:15,115,39.3,37.9,37.9
2024-06-23 23:30:30,115,39.3,37.8,37.7
2024-06-23 23:30:45,115,39.3,37.8,37.6
2024-06-23 23:31:00,115,39.6,37.5,37.6
2024-06-23 23:31:15,115,39.5,37.8,37.8
