"Time","machine69","machine70","Total","machine77"
2024-06-23 23:58:15,244,302,844,302
2024-06-23 23:58:30,243,315,850,306
2024-06-23 23:58:45,346,387,1172,380
2024-06-23 23:59:00,393,508,1387,503
2024-06-23 23:59:15,494,579,1681,567
2024-06-23 23:59:30,495,614,1718,610
2024-06-23 23:59:45,484,606,1697,606
2024-06-24 00:00:00,482,597,1678,596
2024-06-24 00:00:15,514,646,1812,647
2024-06-24 00:00:30,516,653,1822,652
2024-06-24 00:00:45,528,652,1831,653
2024-06-24 00:01:00,512,590,1762,598
2024-06-24 00:01:15,495,593,1690,594
2024-06-24 00:01:30,501,605,1696,602
2024-06-24 00:01:45,517,609,1732,606
2024-06-24 00:02:00,511,594,1717,599
2024-06-24 00:02:15,518,614,1755,615
2024-06-24 00:02:30,504,598,1719,608
2024-06-24 00:02:45,419,548,1484,551
2024-06-24 00:03:00,365,421,1266,428
2024-06-24 00:03:15,259,376,976,380
2024-06-24 00:03:30,238,329,909,329
