"Time","Total","Peers","Orderers","Ledgers"
2024-06-23 23:58:15,9,0,0,0
2024-06-23 23:58:30,4,0,0,0
2024-06-23 23:58:45,7,0,0,0
2024-06-23 23:59:00,5,0,0,0
2024-06-23 23:59:15,83,0,0,0
2024-06-23 23:59:30,2,0,1,0
2024-06-23 23:59:45,2,0,0,0
2024-06-24 00:00:00,8,0,0,0
2024-06-24 00:00:15,1,0,0,0
2024-06-24 00:00:30,27,4,0,1
2024-06-24 00:00:45,0,0,0,0
2024-06-24 00:01:00,0,0,0,0
2024-06-24 00:01:15,147,0,0,32
2024-06-24 00:01:30,5,0,0,0
2024-06-24 00:01:45,4,0,0,0
2024-06-24 00:02:00,1,0,0,0
2024-06-24 00:02:15,3,0,0,0
2024-06-24 00:02:30,2,0,0,0
2024-06-24 00:02:45,1,0,0,0
2024-06-24 00:03:00,2,0,0,0
2024-06-24 00:03:15,0,0,0,0
2024-06-24 00:03:30,0,0,0,0
