"Time","orderers","peers","Total"
2024-06-23 23:58:15,0.386,337,337
2024-06-23 23:58:30,0.413,338,338
2024-06-23 23:58:45,0.603,341,341
2024-06-23 23:59:00,0.819,344,344
2024-06-23 23:59:15,0.948,342,342
2024-06-23 23:59:30,0.964,344,344
2024-06-23 23:59:45,1.16,346,346
2024-06-24 00:00:00,1.31,347,347
2024-06-24 00:00:15,1.23,349,349
2024-06-24 00:00:30,1.36,350,350
2024-06-24 00:00:45,1.60,351,351
2024-06-24 00:01:00,1.46,351,351
2024-06-24 00:01:15,1.72,350,350
2024-06-24 00:01:30,1.86,354,354
2024-06-24 00:01:45,1.84,354,354
2024-06-24 00:02:00,2.00,354,354
2024-06-24 00:02:15,2.22,357,357
2024-06-24 00:02:30,2.25,356,356
2024-06-24 00:02:45,2.26,358,358
2024-06-24 00:03:00,2.26,357,357
2024-06-24 00:03:15,2.27,356,356
2024-06-24 00:03:30,2.27,357,357
