"Time","orderers","peers","Total"
2024-06-23 23:58:15,0.124,108,108
2024-06-23 23:58:30,0.132,108,108
2024-06-23 23:58:45,0.193,109,109
2024-06-23 23:59:00,0.262,110,110
2024-06-23 23:59:15,0.303,110,110
2024-06-23 23:59:30,0.308,110,110
2024-06-23 23:59:45,0.371,111,111
2024-06-24 00:00:00,0.418,111,111
2024-06-24 00:00:15,0.394,112,112
2024-06-24 00:00:30,0.437,112,112
2024-06-24 00:00:45,0.511,112,112
2024-06-24 00:01:00,0.468,112,112
2024-06-24 00:01:15,0.551,112,112
2024-06-24 00:01:30,0.596,113,113
2024-06-24 00:01:45,0.588,113,113
2024-06-24 00:02:00,0.639,113,113
2024-06-24 00:02:15,0.710,114,114
2024-06-24 00:02:30,0.719,114,114
2024-06-24 00:02:45,0.725,115,115
2024-06-24 00:03:00,0.725,114,114
2024-06-24 00:03:15,0.727,114,114
2024-06-24 00:03:30,0.727,114,114
