"Time","machine69","machine70","All Machines","machine77"
2024-06-24 19:59:30,460,401,632,201
2024-06-24 19:59:45,460,401,632,201
2024-06-24 20:00:00,460,401,632,201
2024-06-24 20:00:15,460,401,632,201
2024-06-24 20:00:30,460,401,632,201
2024-06-24 20:00:45,460,401,632,201
2024-06-24 20:01:00,460,401,632,201
2024-06-24 20:01:15,460,401,632,201
2024-06-24 20:01:30,460,401,632,201
2024-06-24 20:01:45,461,401,632,201
2024-06-24 20:02:00,461,402,632,201
2024-06-24 20:02:15,461,402,632,201
2024-06-24 20:02:30,461,402,632,201
2024-06-24 20:02:45,461,402,632,201
2024-06-24 20:03:00,461,402,632,201
2024-06-24 20:03:15,461,402,632,201
2024-06-24 20:03:30,461,402,632,201
2024-06-24 20:03:45,461,402,632,201
2024-06-24 20:04:00,461,402,633,201
2024-06-24 20:04:15,461,402,633,201
2024-06-24 20:04:30,461,402,633,201
2024-06-24 20:04:45,462,402,633,201
2024-06-24 20:05:00,462,402,633,201
2024-06-24 20:05:15,462,402,633,201
2024-06-24 20:05:30,462,402,633,201
2024-06-24 20:05:45,462,402,633,201
2024-06-24 20:06:00,462,402,633,201
2024-06-24 20:06:15,462,402,633,201
2024-06-24 20:06:30,462,402,633,201
