"Time","All machines","machine69","machine70","machine77"
2024-06-24 19:59:30,2529681065,1212319004,658687293,658685619
2024-06-24 19:59:45,2529758183,1212343771,658701214,658699969
2024-06-24 20:00:00,2529813814,1212358024,658729718,658728618
2024-06-24 20:00:15,2529881960,1212384888,658742555,658741202
2024-06-24 20:00:30,2529932615,1212397723,658773213,658771467
2024-06-24 20:00:45,2530021295,1212429449,658790604,658788391
2024-06-24 20:01:00,2530073474,1212440986,658826945,658816809
2024-06-24 20:01:15,2531069085,1212856150,659026028,658999238
2024-06-24 20:01:30,2532141157,1213161694,659508705,659474840
2024-06-24 20:01:45,2533449991,1213779745,659736231,659721424
2024-06-24 20:02:00,2534497318,1214081415,660225290,660193721
2024-06-24 20:02:15,2535761046,1214702330,660463541,660430275
2024-06-24 20:02:30,2536683966,1215007047,660933239,660903691
2024-06-24 20:02:45,2538123655,1215606997,661170449,661138747
2024-06-24 20:03:00,2538943559,1215922132,661642908,661617703
2024-06-24 20:03:15,2540432925,1216521052,661881896,661848731
2024-06-24 20:03:30,2541431579,1216815802,662350806,662322204
2024-06-24 20:03:45,2542753001,1217419444,662577898,662553835
2024-06-24 20:04:00,2543699294,1217721241,663063310,663016826
2024-06-24 20:04:15,2545068021,1218329949,663293009,663261996
2024-06-24 20:04:30,2545976401,1218637323,663753882,663726523
2024-06-24 20:04:45,2547417926,1219258778,663998043,663971807
2024-06-24 20:05:00,2548309518,1219562911,664476058,664450724
2024-06-24 20:05:15,2548931202,1219830855,664545650,664542130
2024-06-24 20:05:30,2548988809,1219845838,664572328,664570193
2024-06-24 20:05:45,2549055062,1219871080,664586135,664585027
2024-06-24 20:06:00,2549104449,1219885202,664613694,664611644
2024-06-24 20:06:15,2549175362,1219909723,664627641,664626248
2024-06-24 20:06:30,2549229613,1219922899,664655951,664653411
