"Time","All machines","machine69","machine70","machine77"
2024-06-24 19:59:30,244261,82703,82301,84489
2024-06-24 19:59:45,253481,82022,86330,86360
2024-06-24 20:00:00,254655,81833,87341,86807
2024-06-24 20:00:15,249078,79161,84084,83769
2024-06-24 20:00:30,253820,82813,85830,85377
2024-06-24 20:00:45,266828,85288,90786,89275
2024-06-24 20:01:00,271385,83736,100522,90278
2024-06-24 20:01:15,1360351,550639,321511,289399
2024-06-24 20:01:30,2473317,893968,837809,807612
2024-06-24 20:01:45,3998757,1592012,1112442,1089945
2024-06-24 20:02:00,4702483,1836572,1433894,1434800
2024-06-24 20:02:15,4699041,1843807,1430036,1431081
2024-06-24 20:02:30,4651405,1837177,1426784,1426750
2024-06-24 20:02:45,4682472,1836860,1421159,1421791
2024-06-24 20:03:00,4673860,1824384,1427560,1429111
2024-06-24 20:03:15,4654796,1816942,1422049,1421711
2024-06-24 20:03:30,4643878,1814504,1414314,1413220
2024-06-24 20:03:45,4619460,1808411,1408886,1409310
2024-06-24 20:04:00,4611004,1807746,1407976,1407367
2024-06-24 20:04:15,4637961,1818930,1408892,1407409
2024-06-24 20:04:30,4657176,1823517,1419166,1419053
2024-06-24 20:04:45,4678267,1835655,1421072,1421603
2024-06-24 20:05:00,4677223,1832478,1421354,1422891
2024-06-24 20:05:15,3674011,1428837,1217990,1254971
2024-06-24 20:05:30,2582136,1089681,690290,724298
2024-06-24 20:05:45,1026909,369583,422516,450834
2024-06-24 20:06:00,252602,81480,81950,83711
2024-06-24 20:06:15,242040,76104,83279,83261
2024-06-24 20:06:30,239314,76000,83226,82065
