"Time","Total","Peers","Orderers","Couchsdb"
2024-06-24 19:59:30,189101,2029,3340,290
2024-06-24 19:59:45,199054,2774,3389,380
2024-06-24 20:00:00,202005,3186,3372,309
2024-06-24 20:00:15,201697,3004,3372,267
2024-06-24 20:00:30,207582,3096,3274,322
2024-06-24 20:00:45,214886,3075,3403,246
2024-06-24 20:01:00,221395,3071,3817,250
2024-06-24 20:01:15,1308474,35607,22319,4562
2024-06-24 20:01:30,2403431,63703,37542,9473
2024-06-24 20:01:45,3928556,108855,61214,14488
2024-06-24 20:02:00,4616641,126493,70950,18005
2024-06-24 20:02:15,4607272,125999,70769,18003
2024-06-24 20:02:30,4563560,125755,70426,17528
2024-06-24 20:02:45,4584754,125841,70093,18161
2024-06-24 20:03:00,4577960,122348,69241,18096
2024-06-24 20:03:15,4554856,126128,68362,18272
2024-06-24 20:03:30,4545470,125660,67758,18388
2024-06-24 20:03:45,4526770,125338,67502,18539
2024-06-24 20:04:00,4518194,125075,65957,18502
2024-06-24 20:04:15,4549438,125434,68247,18209
2024-06-24 20:04:30,4561981,125054,65773,18189
2024-06-24 20:04:45,4579576,125355,69381,18110
2024-06-24 20:05:00,4573037,125595,69150,18173
2024-06-24 20:05:15,3574336,98198,53522,14163
2024-06-24 20:05:30,2501765,69944,39377,9668
2024-06-24 20:05:45,958536,23518,14390,3273
2024-06-24 20:06:00,197748,2615,3287,64.0
2024-06-24 20:06:15,193438,2480,3223,86.4
2024-06-24 20:06:30,190566,2486,3103,76.9
