"Time","Total","sum(container_network_transmit_packets_total{job=""machinesComb"",name!=""cadvisor"",name!=""explorer"",name!=""explorerdb"",name=~"".*-peer.*"",name!~"".*-couch.*""})","Orderers","Couchdb"
2024-06-24 20:19:30,2542931110,21953,7539,1046
2024-06-24 20:19:45,2543036320,23413,9000,1154
2024-06-24 20:20:00,2543800556,42129,17102,3480
2024-06-24 20:20:15,2545174568,85042,31410,8534
2024-06-24 20:20:30,2546061578,113417,38370,11110
2024-06-24 20:20:45,2547454519,151342,53399,16049
2024-06-24 20:21:00,2548379192,179665,61238,19514
2024-06-24 20:21:15,2549712879,215405,74621,23656
2024-06-24 20:21:30,2550547626,237170,82515,27148
2024-06-24 20:21:45,2551950763,279998,95811,31138
2024-06-24 20:22:00,2552731347,302507,104573,34604
2024-06-24 20:22:15,2554214014,345019,118272,38693
2024-06-24 20:22:30,2555037961,373696,125600,41964
2024-06-24 20:22:45,2556452422,408520,138999,46218
2024-06-24 20:23:00,2557382039,436572,146258,49600
2024-06-24 20:23:15,2558655354,473029,160078,53734
2024-06-24 20:23:30,2559543437,493779,167129,57181
2024-06-24 20:23:45,2560865562,535749,181373,61368
2024-06-24 20:24:00,2561073660,542081,182616,62023
2024-06-24 20:24:15,2561146563,542771,183344,62037
2024-06-24 20:24:30,2561191089,543355,183876,62077
