"Time","All machines","machine69","machine70","machine77"
2024-06-24 20:19:30,82.0,81.7,0,0
2024-06-24 20:19:45,0,0,0,0
2024-06-24 20:20:00,0,0,0,0
2024-06-24 20:20:15,0,0,0,0
2024-06-24 20:20:30,73.8,54.3,0,0
2024-06-24 20:20:45,904,907,0,0
2024-06-24 20:21:00,1490,1454,0,0
2024-06-24 20:21:15,1765,1356,175,207
2024-06-24 20:21:30,2948,1189,850,851
2024-06-24 20:21:45,2287,0,1113,1121
2024-06-24 20:22:00,2173,0,907,906
2024-06-24 20:22:15,657,0,330,332
2024-06-24 20:22:30,462,0,76.8,76.8
2024-06-24 20:22:45,103,13.1,87.5,80.0
2024-06-24 20:23:00,488,373,63.6,63.6
2024-06-24 20:23:15,752,628,63.6,63.8
2024-06-24 20:23:30,825,645,83.4,57.3
2024-06-24 20:23:45,2837,1949,474,507
2024-06-24 20:24:00,4668,1947,1413,1424
2024-06-24 20:24:15,4859,1683,1434,1428
2024-06-24 20:24:30,4601,1756,950,953
