"Time","All machines","machine69","machine70","machine77"
2024-06-24 20:19:30,17938289406,6161667319,5888295785,5888295785
2024-06-24 20:19:45,17938390990,6161719376,5888334408,5888332168
2024-06-24 20:20:00,17938457674,6161743638,5888363230,5888360245
2024-06-24 20:20:15,17938714662,6161836591,5888381093,5888378010
2024-06-24 20:20:30,17938832895,6161864127,5888469622,5888468280
2024-06-24 20:20:45,17938981719,6161934362,5888516362,5888514974
2024-06-24 20:21:00,17939070225,6161959443,5888551297,5888548363
2024-06-24 20:21:15,17939241788,6162032543,5888597623,5888596629
2024-06-24 20:21:30,17939384945,6162056457,5888686961,5888685479
2024-06-24 20:21:45,17939523575,6162105267,5888702511,5888700982
2024-06-24 20:22:00,17939654857,6162174710,5888764219,5888754419
2024-06-24 20:22:15,17939798966,6162226420,5888780091,5888778354
2024-06-24 20:22:30,17939870263,6162249028,5888816728,5888814180
2024-06-24 20:22:45,17940130645,6162338428,5888881712,5888841277
2024-06-24 20:23:00,17940231415,6162393364,5888920815,5888919115
2024-06-24 20:23:15,17940328523,6162434152,5888939530,5888937815
2024-06-24 20:23:30,17940477891,6162474236,5889000138,5888997896
2024-06-24 20:23:45,17940652230,6162538018,5889050515,5889048802
2024-06-24 20:24:00,17940685715,6162548841,5889070565,5889069499
2024-06-24 20:24:15,17940870178,6162620489,5889073020,5889071976
2024-06-24 20:24:30,17940897430,6162627268,5889135258,5889133820
