"Time","machine69","machine70","All Machines","machine77"
2024-06-24 22:27:30,272,237,745,237
2024-06-24 22:27:45,272,237,745,237
2024-06-24 22:28:00,272,237,745,237
2024-06-24 22:28:15,272,237,745,237
2024-06-24 22:28:30,272,237,745,237
2024-06-24 22:28:45,272,237,746,237
2024-06-24 22:29:00,272,237,746,237
2024-06-24 22:29:15,272,237,746,237
2024-06-24 22:29:30,272,237,746,237
2024-06-24 22:29:45,272,237,746,237
2024-06-24 22:30:00,272,237,746,237
2024-06-24 22:30:15,272,237,746,237
2024-06-24 22:30:30,272,237,746,237
2024-06-24 22:30:45,272,237,747,237
2024-06-24 22:31:00,272,237,747,237
2024-06-24 22:31:15,272,237,747,237
2024-06-24 22:31:30,272,237,747,237
2024-06-24 22:31:45,272,237,747,237
2024-06-24 22:32:00,272,237,747,237
2024-06-24 22:32:15,272,237,747,237
2024-06-24 22:32:30,272,237,747,237
2024-06-24 22:32:45,272,237,747,237
2024-06-24 22:33:00,272,237,747,237
2024-06-24 22:33:15,272,237,747,237
2024-06-24 22:33:30,272,237,747,237
