"Time","All machines","machine69","machine70","machine77"
2024-06-24 22:50:30,241,81.8,77.2,77.0
2024-06-24 22:50:45,252,81.8,77.2,79.4
2024-06-24 22:51:00,630,81.5,317,259
2024-06-24 22:51:15,770,0,387,382
2024-06-24 22:51:30,1238,0,859,864
2024-06-24 22:51:45,1438,122,758,771
2024-06-24 22:52:00,2243,1047,502,501
2024-06-24 22:52:15,2181,1588,332,316
2024-06-24 22:52:30,2712,1838,417,286
2024-06-24 22:52:45,2611,1657,432,433
2024-06-24 22:53:00,2695,1356,707,686
2024-06-24 22:53:15,2009,1024,633,625
2024-06-24 22:53:30,969,214,292,291
2024-06-24 22:53:45,830,225,289,289
2024-06-24 22:54:00,872,283,275,274
2024-06-24 22:54:15,2889,531,1175,1187
2024-06-24 22:54:30,2894,517,1092,1096
2024-06-24 22:54:45,2289,258,1066,1072
2024-06-24 22:55:00,775,14.4,80.7,19.1
2024-06-24 22:55:15,917,27.8,310,307
2024-06-24 22:55:30,2643,427,1157,1175
2024-06-24 22:55:45,2744,416,1156,1160
2024-06-24 22:56:00,2221,406,859,864
2024-06-24 22:56:15,93.8,0,530,501
2024-06-24 22:56:30,22.6,0,10.9,10.9
