"Time","Total","Peers","Orderers","Couchsdb"
2024-06-24 22:50:30,281,168,17.2,0
2024-06-24 22:50:45,255,157,15.6,0
2024-06-24 22:51:00,197,88.7,17.3,0
2024-06-24 22:51:15,5.39,1.08,0,0
2024-06-24 22:51:30,11.6,1.19,0,0
2024-06-24 22:51:45,6.52,0,0,0
2024-06-24 22:52:00,7.04,0,0,0
2024-06-24 22:52:15,1.04,0,0,0
2024-06-24 22:52:30,25.8,0,0,0
2024-06-24 22:52:45,30.6,0,0,0
2024-06-24 22:53:00,87.9,0,0,0
2024-06-24 22:53:15,92.3,0,0,0
2024-06-24 22:53:30,73.3,0,0,0
2024-06-24 22:53:45,67.1,0,0,0
2024-06-24 22:54:00,2.25,0,0,0
2024-06-24 22:54:15,74.4,1.05,0,68.1
2024-06-24 22:54:30,79.7,1.13,0,74.9
2024-06-24 22:54:45,72.5,1.03,0,68.2
2024-06-24 22:55:00,79.4,1.13,0,75.1
2024-06-24 22:55:15,0,0,0,0
2024-06-24 22:55:30,0,0,0,0
2024-06-24 22:55:45,59.2,0,29.1,0
2024-06-24 22:56:00,54.3,0,27.0,0
2024-06-24 22:56:15,58.6,0,29.3,0
2024-06-24 22:56:30,155,70.4,0,0
