"Time","machine69","machine70","All Machines","machine77"
2024-06-13 13:43:00,243,235,722,244
2024-06-13 13:43:15,243,235,722,244
2024-06-13 13:43:30,243,235,722,244
2024-06-13 13:43:45,243,235,722,244
2024-06-13 13:44:00,243,235,722,244
2024-06-13 13:44:15,243,235,722,244
2024-06-13 13:44:30,243,235,722,244
2024-06-13 13:44:45,243,235,722,244
2024-06-13 13:45:00,243,235,722,244
2024-06-13 13:45:15,243,235,723,244
2024-06-13 13:45:30,243,235,723,244
2024-06-13 13:45:45,243,235,723,244
2024-06-13 13:46:00,243,235,723,244
2024-06-13 13:46:15,243,235,723,244
2024-06-13 13:46:30,243,235,723,244
2024-06-13 13:46:45,243,235,723,245
2024-06-13 13:47:00,243,235,723,245
2024-06-13 13:47:15,243,235,723,245
2024-06-13 13:47:30,243,235,723,245
2024-06-13 13:47:45,243,235,724,245
2024-06-13 13:48:00,243,236,724,245
2024-06-13 13:48:15,243,236,724,245
2024-06-13 13:48:30,243,236,724,245
2024-06-13 13:48:45,244,236,724,245
2024-06-13 13:49:00,244,236,724,245
2024-06-13 13:49:15,244,236,724,245
2024-06-13 13:49:30,244,236,724,245
2024-06-13 13:49:45,244,236,724,245
2024-06-13 13:50:00,244,236,724,245
