"Time","Total","sum(container_network_transmit_packets_total{job=""machinesComb"",name!=""cadvisor"",name!=""explorer"",name!=""explorerdb"",name=~"".*-peer.*"",name!~"".*-couch.*""})","Orderers","Couchdb"
2024-06-13 13:43:00,1175753111,28960,4490,253
2024-06-13 13:43:15,1175822961,29750,5367,419
2024-06-13 13:43:30,1175882461,30046,6299,420
2024-06-13 13:43:45,1175950838,31345,6991,746
2024-06-13 13:44:00,1176003767,31948,7962,746
2024-06-13 13:44:15,1176075336,32655,8675,780
2024-06-13 13:44:30,1176140621,33448,9249,895
2024-06-13 13:44:45,1176278796,36614,11990,1395
2024-06-13 13:45:00,1177035813,55720,22885,4429
2024-06-13 13:45:15,1178326890,100685,45321,8728
2024-06-13 13:45:30,1179167383,127030,56806,11293
2024-06-13 13:45:45,1180391213,163977,78374,16322
2024-06-13 13:46:00,1181305636,192935,92180,19621
2024-06-13 13:46:15,1182439789,229285,110916,23860
2024-06-13 13:46:30,1183310873,263443,124921,27276
2024-06-13 13:46:45,1184458932,292702,142469,31264
2024-06-13 13:47:00,1185298384,326236,157761,34198
2024-06-13 13:47:15,1186498382,355259,176683,39200
2024-06-13 13:47:30,1187294714,383702,190248,41780
2024-06-13 13:47:45,1188529445,419202,208942,46538
2024-06-13 13:48:00,1189358919,441219,222322,50159
2024-06-13 13:48:15,1190559512,484428,240417,54417
2024-06-13 13:48:30,1191273696,512345,251592,58786
2024-06-13 13:48:45,1192714902,550209,273069,62085
2024-06-13 13:49:00,1192878082,553840,276030,62754
2024-06-13 13:49:15,1192947768,554643,276920,62775
2024-06-13 13:49:30,1192995887,555428,277475,62913
2024-06-13 13:49:45,1193069946,556000,278533,62945
2024-06-13 13:50:00,1193126195,556827,279056,63107
