"Time","All machines","machine69","machine70","machine77"
2024-06-13 13:43:00,1175753111,587323932,294219180,294217788
2024-06-13 13:43:15,1175822961,587347246,294232327,294231400
2024-06-13 13:43:30,1175882461,587358025,294261256,294260406
2024-06-13 13:43:45,1175950838,587385761,294277165,294276187
2024-06-13 13:44:00,1176003767,587398863,294305684,294304349
2024-06-13 13:44:15,1176075336,587425587,294319861,294319341
2024-06-13 13:44:30,1176140621,587441626,294352420,294350924
2024-06-13 13:44:45,1176278796,587497258,294367302,294364933
2024-06-13 13:45:00,1177035813,587786124,294704317,294677772
2024-06-13 13:45:15,1178326890,588354702,294911689,294889093
2024-06-13 13:45:30,1179167383,588644834,295314247,295291741
2024-06-13 13:45:45,1180391213,589224775,295511991,295486783
2024-06-13 13:46:00,1181305636,589495935,295910184,295880760
2024-06-13 13:46:15,1182439789,590068226,296110037,296088405
2024-06-13 13:46:30,1183310873,590348619,296511269,296482436
2024-06-13 13:46:45,1184458932,590933836,296718668,296685512
2024-06-13 13:47:00,1185298384,591195756,297094503,297082907
2024-06-13 13:47:15,1186498382,591748970,297296431,297276137
2024-06-13 13:47:30,1187294714,592029722,297691687,297675511
2024-06-13 13:47:45,1188529445,592600583,297891206,297864162
2024-06-13 13:48:00,1189358919,592893409,298298965,298269841
2024-06-13 13:48:15,1190559512,593458108,298492376,298466916
2024-06-13 13:48:30,1191273696,593754764,298881907,298860152
2024-06-13 13:48:45,1192714902,594383354,299087871,299062764
2024-06-13 13:49:00,1192878082,594437380,299224201,299223078
2024-06-13 13:49:15,1192947768,594462161,299238050,299236729
2024-06-13 13:49:30,1192995887,594474192,299266663,299264177
2024-06-13 13:49:45,1193069946,594499729,299281233,299278271
2024-06-13 13:50:00,1193126195,594512937,299309647,299306867
