"Time","machine69","machine70","All Machines","machine77"
2024-06-14 18:12:00,470,422,657,211
2024-06-14 18:12:15,470,422,657,211
2024-06-14 18:12:30,470,422,657,211
2024-06-14 18:12:45,470,422,657,211
2024-06-14 18:13:00,470,422,657,211
2024-06-14 18:13:15,470,422,657,211
2024-06-14 18:13:30,470,422,657,211
2024-06-14 18:13:45,470,422,657,211
2024-06-14 18:14:00,470,422,657,211
2024-06-14 18:14:15,471,422,657,211
2024-06-14 18:14:30,471,422,657,211
2024-06-14 18:14:45,471,422,657,211
2024-06-14 18:15:00,471,422,657,211
2024-06-14 18:15:15,471,422,658,211
2024-06-14 18:15:30,471,422,658,211
2024-06-14 18:15:45,471,422,658,211
2024-06-14 18:16:00,471,422,658,211
2024-06-14 18:16:15,471,422,658,211
2024-06-14 18:16:30,471,423,658,211
2024-06-14 18:16:45,471,423,658,211
2024-06-14 18:17:00,471,423,658,211
2024-06-14 18:17:15,471,423,658,211
2024-06-14 18:17:30,471,423,658,211
2024-06-14 18:17:45,471,423,658,211
2024-06-14 18:18:00,471,423,658,211
