"Time","Total","Peers","Orderers","Couchsdb"
2024-06-14 18:12:00,267958,2651,3416,379
2024-06-14 18:12:15,276565,3135,3546,358
2024-06-14 18:12:30,759164,11374,13913,2503
2024-06-14 18:12:45,2274520,61258,37566,7302
2024-06-14 18:13:00,3334061,92110,55414,10578
2024-06-14 18:13:15,4538798,126809,72810,15213
2024-06-14 18:13:30,4523500,122505,72734,15291
2024-06-14 18:13:45,4547087,126798,71378,15287
2024-06-14 18:14:00,4535242,127319,71819,15397
2024-06-14 18:14:15,4582170,127234,72078,15374
2024-06-14 18:14:30,4568642,126935,72083,15394
2024-06-14 18:14:45,4595423,127251,71504,15316
2024-06-14 18:15:00,4579700,126978,70785,14846
2024-06-14 18:15:15,4550626,126624,69923,15319
2024-06-14 18:15:30,4516447,125785,69411,15390
2024-06-14 18:15:45,4550300,125505,68839,15483
2024-06-14 18:16:00,4553543,126916,68845,15538
2024-06-14 18:16:15,4550176,126357,68678,15729
2024-06-14 18:16:30,4080837,120814,61651,14341
2024-06-14 18:16:45,2610617,70419,39012,8895
2024-06-14 18:17:00,1524595,33238,23889,4890
2024-06-14 18:17:15,260887,2464,3266,88.9
2024-06-14 18:17:30,247046,2332,3172,125
2024-06-14 18:17:45,249900,2427,3149,100
2024-06-14 18:18:00,245809,2535,3156,140
