"Time","Total","Peers","Orderers","Couchdb"
2024-06-13 14:29:00,6023094,502967,502949,335296
2024-06-13 14:29:15,6023094,502967,502949,335296
2024-06-13 14:29:30,6023094,502967,502949,335296
2024-06-13 14:29:45,6023094,502967,502949,335296
2024-06-13 14:30:00,6023094,502967,502949,335296
2024-06-13 14:30:15,6023189,502978,502958,335302
2024-06-13 14:30:30,6023263,502984,502964,335308
2024-06-13 14:30:45,6023263,502984,502964,335308
2024-06-13 14:31:00,6023263,502984,502964,335308
2024-06-13 14:31:15,6023272,502984,502966,335308
2024-06-13 14:31:30,6023272,502984,502966,335308
2024-06-13 14:31:45,6023342,502994,502972,335312
2024-06-13 14:32:00,6023342,502994,502972,335312
2024-06-13 14:32:15,6023364,502997,502974,335312
2024-06-13 14:32:30,6023470,503006,502984,335320
2024-06-13 14:32:45,6023623,503006,502984,335320
2024-06-13 14:33:00,6023783,503018,502996,335332
2024-06-13 14:33:15,6023857,503024,503002,335336
2024-06-13 14:33:30,6023869,503026,503002,335336
2024-06-13 14:33:45,6023961,503028,503002,335336
2024-06-13 14:34:00,6024113,503040,503014,335344
2024-06-13 14:34:15,6024260,503040,503014,335344
2024-06-13 14:34:30,6024260,503040,503014,335344
2024-06-13 14:34:45,6024260,503040,503014,335344
2024-06-13 14:35:00,6024260,503040,503014,335344
