"Time","orderers","peers","Total"
2024-06-13 14:29:00,0.381,341,341
2024-06-13 14:29:15,0.381,343,343
2024-06-13 14:29:30,0.381,342,342
2024-06-13 14:29:45,0.381,342,342
2024-06-13 14:30:00,0.419,345,345
2024-06-13 14:30:15,0.589,348,348
2024-06-13 14:30:30,0.718,350,350
2024-06-13 14:30:45,0.978,350,350
2024-06-13 14:31:00,1.05,350,350
2024-06-13 14:31:15,1.24,352,352
2024-06-13 14:31:30,1.34,355,355
2024-06-13 14:31:45,1.27,353,353
2024-06-13 14:32:00,1.38,355,355
2024-06-13 14:32:15,1.65,358,358
2024-06-13 14:32:30,1.50,358,358
2024-06-13 14:32:45,1.74,358,358
2024-06-13 14:33:00,1.87,359,359
2024-06-13 14:33:15,1.83,361,361
2024-06-13 14:33:30,1.96,363,363
2024-06-13 14:33:45,2.22,361,361
2024-06-13 14:34:00,2.24,364,364
2024-06-13 14:34:15,2.14,364,364
2024-06-13 14:34:30,2.15,363,363
2024-06-13 14:34:45,2.15,362,362
2024-06-13 14:35:00,2.15,361,361
