"Time","orderers","peers","Total"
2024-06-13 14:29:00,0.122,109,109
2024-06-13 14:29:15,0.122,110,110
2024-06-13 14:29:30,0.122,109,109
2024-06-13 14:29:45,0.122,110,110
2024-06-13 14:30:00,0.134,110,110
2024-06-13 14:30:15,0.188,111,111
2024-06-13 14:30:30,0.230,112,112
2024-06-13 14:30:45,0.313,112,112
2024-06-13 14:31:00,0.336,112,112
2024-06-13 14:31:15,0.397,113,113
2024-06-13 14:31:30,0.429,114,114
2024-06-13 14:31:45,0.406,113,113
2024-06-13 14:32:00,0.442,114,114
2024-06-13 14:32:15,0.528,114,114
2024-06-13 14:32:30,0.479,114,114
2024-06-13 14:32:45,0.557,115,115
2024-06-13 14:33:00,0.598,115,115
2024-06-13 14:33:15,0.585,116,116
2024-06-13 14:33:30,0.628,116,116
2024-06-13 14:33:45,0.711,115,115
2024-06-13 14:34:00,0.718,117,117
2024-06-13 14:34:15,0.686,116,116
2024-06-13 14:34:30,0.688,116,116
2024-06-13 14:34:45,0.689,116,116
2024-06-13 14:35:00,0.689,116,116
