"Time","Total","Peers","Orderers","Couchsdb"
2024-06-13 14:29:00,3.54,0,2.40,0
2024-06-13 14:29:15,3.27,0,2.22,0
2024-06-13 14:29:30,1.16,0,0,0
2024-06-13 14:29:45,0,0,0,0
2024-06-13 14:30:00,2.02,0,0,0
2024-06-13 14:30:15,3.21,0,0,0
2024-06-13 14:30:30,5.60,0,0,0
2024-06-13 14:30:45,9.69,0,0,0
2024-06-13 14:31:00,35.7,0,0,0
2024-06-13 14:31:15,34.8,0,0,0
2024-06-13 14:31:30,47.1,0,0,0
2024-06-13 14:31:45,31.7,6.24,6.23,0
2024-06-13 14:32:00,32.4,6.81,6.93,0
2024-06-13 14:32:15,122,6.21,6.27,0
2024-06-13 14:32:30,140,6.80,6.95,0
2024-06-13 14:32:45,113,0,0,0
2024-06-13 14:33:00,238,0,0,0
2024-06-13 14:33:15,143,0,0,0
2024-06-13 14:33:30,157,0,0,0
2024-06-13 14:33:45,253,0,23.2,47.5
2024-06-13 14:34:00,298,0,25.2,55.7
2024-06-13 14:34:15,269,0,23.0,53.1
2024-06-13 14:34:30,288,0,27.4,49.0
2024-06-13 14:34:45,7.36,0,3.12,1.10
2024-06-13 14:35:00,93.1,0,3.43,1.18
