"Time","All machines","machine69","machine70","machine77"
2024-06-13 16:50:45,2.07,0,0,98.3
2024-06-13 16:51:00,2.30,0,0,90.1
2024-06-13 16:51:15,2.09,0,0,100
2024-06-13 16:51:30,0,0,0,0
2024-06-13 16:51:45,0,0,0,0
2024-06-13 16:52:00,0,0,0,0
2024-06-13 16:52:15,5.37,4.29,0,0
2024-06-13 16:52:30,6.50,4.70,0,14.0
2024-06-13 16:52:45,8.63,15.0,0,15.1
2024-06-13 16:53:00,14.2,17.5,0,19.2
2024-06-13 16:53:15,52.9,12.4,0,20.3
2024-06-13 16:53:30,54.7,12.8,0,5.32
2024-06-13 16:53:45,298,1.09,0,75.3
2024-06-13 16:54:00,269,1.16,0,67.2
2024-06-13 16:54:15,257,1.08,9.61,83.1
2024-06-13 16:54:30,286,1.17,203,10.6
2024-06-13 16:54:45,20.0,0,229,11.7
2024-06-13 16:55:00,17.2,1.16,206,2.46
2024-06-13 16:55:15,7.32,41.1,11.8,0
2024-06-13 16:55:30,30.9,46.7,3.39,0
2024-06-13 16:55:45,38.1,41.8,1.17,3.54
2024-06-13 16:56:00,89.5,2.33,1.04,3.22
2024-06-13 16:56:15,159,43.9,1.16,3.44
2024-06-13 16:56:30,168,48.1,0,0
2024-06-13 16:56:45,110,45.9,0,0
2024-06-13 16:57:00,96.6,50.3,0,28.9
