"Time","All machines","machine69","machine70","machine77"
2024-06-13 16:50:45,0,0,0,85
2024-06-13 16:51:00,0,0,0,0
2024-06-13 16:51:15,0,0,0,0
2024-06-13 16:51:30,0,0,0,0
2024-06-13 16:51:45,0,0,0,0
2024-06-13 16:52:00,0,0,0,0
2024-06-13 16:52:15,5,4,0,0
2024-06-13 16:52:30,1,0,0,13
2024-06-13 16:52:45,1,10,0,0
2024-06-13 16:53:00,5,1,0,3
2024-06-13 16:53:15,39,0,0,3
2024-06-13 16:53:30,41,0,0,0
2024-06-13 16:53:45,234,1,0,61
2024-06-13 16:54:00,0,0,0,0
2024-06-13 16:54:15,10,0,8,8
2024-06-13 16:54:30,2,0,0,2
2024-06-13 16:54:45,1,0,8,0
2024-06-13 16:55:00,0,1,0,0
2024-06-13 16:55:15,3,0,0,0
2024-06-13 16:55:30,22,2,1,0
2024-06-13 16:55:45,4,0,0,3
2024-06-13 16:56:00,45,0,0,0
2024-06-13 16:56:15,90,41,0,0
2024-06-13 16:56:30,0,0,0,0
2024-06-13 16:56:45,7,2,0,0
2024-06-13 16:57:00,0,0,0,27
