"Time","All machines","machine69","machine70","machine77"
2024-06-13 16:50:45,109,37.9,35.6,35.6
2024-06-13 16:51:00,109,37.9,35.7,35.5
2024-06-13 16:51:15,109,37.9,36.0,36.0
2024-06-13 16:51:30,110,38.0,35.9,35.8
2024-06-13 16:51:45,110,38.0,36.0,36.1
2024-06-13 16:52:00,110,38.0,35.8,35.7
2024-06-13 16:52:15,111,38.1,36.3,36.2
2024-06-13 16:52:30,112,38.5,36.6,36.5
2024-06-13 16:52:45,113,38.7,36.9,36.8
2024-06-13 16:53:00,112,38.8,36.4,36.6
2024-06-13 16:53:15,112,39.0,36.4,36.6
2024-06-13 16:53:30,113,39.0,37.6,37.5
2024-06-13 16:53:45,116,39.6,38.2,38.3
2024-06-13 16:54:00,114,39.5,37.1,37.3
2024-06-13 16:54:15,115,39.3,37.4,37.3
2024-06-13 16:54:30,115,40.1,37.4,37.4
2024-06-13 16:54:45,116,40.2,37.7,37.8
2024-06-13 16:55:00,115,39.6,37.9,37.6
2024-06-13 16:55:15,116,39.7,38.2,38.1
2024-06-13 16:55:30,116,39.8,37.9,38.1
2024-06-13 16:55:45,117,40.4,38.0,38.2
2024-06-13 16:56:00,117,40.4,38.4,38.5
2024-06-13 16:56:15,117,40.5,38.1,38.1
2024-06-13 16:56:30,117,40.0,38.1,38.0
2024-06-13 16:56:45,118,40.5,38.3,38.3
2024-06-13 16:57:00,117,40.5,38.2,38.3
