"Time","Total","Peers","Orderers","Couchsdb"
2024-06-13 16:50:45,0,0,0,0
2024-06-13 16:51:00,0,0,0,0
2024-06-13 16:51:15,0,0,0,0
2024-06-13 16:51:30,0,0,0,0
2024-06-13 16:51:45,0,0,0,0
2024-06-13 16:52:00,166,15.6,13.7,9.72
2024-06-13 16:52:15,246,25.3,24.9,16.6
2024-06-13 16:52:30,349,38.8,31.3,33.6
2024-06-13 16:52:45,468,47.1,43.3,41.6
2024-06-13 16:53:00,330,34.1,28.3,31.7
2024-06-13 16:53:15,287,22.7,26.0,28.5
2024-06-13 16:53:30,0,0,0,0
2024-06-13 16:53:45,174,14.3,14.3,9.64
2024-06-13 16:54:00,188,13.6,14.1,11.3
2024-06-13 16:54:15,180,15.1,15.1,9.98
2024-06-13 16:54:30,139,13.3,6.60,4.56
2024-06-13 16:54:45,81.2,7.19,7.17,4.75
2024-06-13 16:55:00,81.2,7.23,7.23,4.80
2024-06-13 16:55:15,127,7.26,7.15,4.83
2024-06-13 16:55:30,70.4,4.28,1.11,1.01
2024-06-13 16:55:45,279,28.8,21.6,14.6
2024-06-13 16:56:00,417,36.7,22.8,23.4
2024-06-13 16:56:15,467,43.1,28.9,25.8
2024-06-13 16:56:30,274,26.9,19.7,19.6
2024-06-13 16:56:45,84.3,12.0,7.20,4.82
2024-06-13 16:57:00,478,0,0,0
