"Time","Total","Peers","Orderers","Couchsdb"
2024-06-13 16:50:45,604644,52739,65035,47877
2024-06-13 16:51:00,473937,51405,48272,33387
2024-06-13 16:51:15,382029,40162,40283,27811
2024-06-13 16:51:30,407250,40732,43551,28356
2024-06-13 16:51:45,351038,38021,37100,24874
2024-06-13 16:52:00,374477,39018,35903,22562
2024-06-13 16:52:15,533290,55432,55023,38408
2024-06-13 16:52:30,603506,59549,58785,45221
2024-06-13 16:52:45,767423,72943,70377,60182
2024-06-13 16:53:00,522508,41707,40323,42339
2024-06-13 16:53:15,546401,50150,49093,46232
2024-06-13 16:53:30,457544,36566,44158,43178
2024-06-13 16:53:45,684270,58699,56146,54199
2024-06-13 16:54:00,505434,45146,41032,41535
2024-06-13 16:54:15,434550,30055,29768,36505
2024-06-13 16:54:30,564147,44024,40417,45431
2024-06-13 16:54:45,536943,41248,40914,43887
2024-06-13 16:55:00,565826,44714,43571,45109
2024-06-13 16:55:15,523756,39488,38720,42737
2024-06-13 16:55:30,498853,37999,36014,40940
2024-06-13 16:55:45,638641,52310,51561,51305
2024-06-13 16:56:00,590677,48109,43807,48291
2024-06-13 16:56:15,693059,59882,59375,54529
2024-06-13 16:56:30,544973,46511,46342,42804
2024-06-13 16:56:45,429412,41389,42438,30746
2024-06-13 16:57:00,409576,41104,41855,29144
