"Time","Total","Peers","Orderers"
2024-06-13 19:26:45,704,0.151,0.000626
2024-06-13 19:27:00,704,0.151,0.000637
2024-06-13 19:27:15,704,0.151,0.000637
2024-06-13 19:27:30,704,0.151,0.000637
2024-06-13 19:27:45,704,0.151,0.000637
2024-06-13 19:28:00,704,0.155,0.00164
2024-06-13 19:28:15,704,0.155,0.00164
2024-06-13 19:28:30,704,0.155,0.00164
2024-06-13 19:28:45,704,0.155,0.00164
2024-06-13 19:29:00,704,0.160,0.00287
2024-06-13 19:29:15,704,0.160,0.00287
2024-06-13 19:29:30,705,0.160,0.00287
2024-06-13 19:29:45,705,0.160,0.00287
2024-06-13 19:30:00,705,0.166,0.00410
2024-06-13 19:30:15,705,0.166,0.00410
2024-06-13 19:30:30,705,0.166,0.00410
2024-06-13 19:30:45,705,0.166,0.00410
2024-06-13 19:31:00,705,0.171,0.00533
2024-06-13 19:31:15,705,0.171,0.00533
2024-06-13 19:31:30,705,0.171,0.00533
2024-06-13 19:31:45,705,0.171,0.00533
2024-06-13 19:32:00,705,0.172,0.00558
