"Time","All machines","machine69","machine70","machine77"
2024-06-13 19:26:45,966582275,435629295,265472489,265471391
2024-06-13 19:27:00,966684591,435664002,265520001,265510378
2024-06-13 19:27:15,967474362,436148857,265624290,265609807
2024-06-13 19:27:30,967913850,436341358,265810880,265795969
2024-06-13 19:27:45,968865757,436964438,265903871,265889502
2024-06-13 19:28:00,969409976,437251574,266099577,266088819
2024-06-13 19:28:15,970294372,437811402,266196987,266185386
2024-06-13 19:28:30,970702969,438013278,266374370,266359635
2024-06-13 19:28:45,971633599,438615945,266473801,266461057
2024-06-13 19:29:00,972192600,438878606,266665243,266655309
2024-06-13 19:29:15,973057665,439459714,266769038,266750437
2024-06-13 19:29:30,973615187,439732641,266962611,266940080
2024-06-13 19:29:45,974476207,440282623,267054878,267046453
2024-06-13 19:30:00,975024558,440558077,267248693,267235646
2024-06-13 19:30:15,975916587,441130034,267349187,267338268
2024-06-13 19:30:30,976357589,441346297,267529147,267514473
2024-06-13 19:30:45,977261754,441927230,267627313,267613505
2024-06-13 19:31:00,977797766,442210418,267808439,267804000
2024-06-13 19:31:15,978026140,442365980,267822770,267821618
2024-06-13 19:31:30,978074894,442393895,267843573,267842097
2024-06-13 19:31:45,978144718,442429357,267853890,267852724
2024-06-13 19:32:00,978185976,442443356,267874263,267872954
