"Time","All machines","machine69","machine70","machine77"
2024-06-13 19:26:45,81.8,81.9,2.34,25.2
2024-06-13 19:27:00,0,3.54,0,0
2024-06-13 19:27:15,103,76.6,0,0
2024-06-13 19:27:30,324,321,0,0
2024-06-13 19:27:45,548,480,34.6,31.9
2024-06-13 19:28:00,691,653,35.1,34.7
2024-06-13 19:28:15,371,305,37.7,34.3
2024-06-13 19:28:30,213,179,0,3.46
2024-06-13 19:28:45,0,0,0,0
2024-06-13 19:29:00,85.2,0,42.4,41.7
2024-06-13 19:29:15,128,44.1,41.9,42.7
2024-06-13 19:29:30,128,44.4,42.2,42.3
2024-06-13 19:29:45,44.4,44.5,20.4,40.3
2024-06-13 19:30:00,6.78,0,10.9,10.8
2024-06-13 19:30:15,91.4,0,45.1,49.2
2024-06-13 19:30:30,252,0,122,122
2024-06-13 19:30:45,244,0,122,124
2024-06-13 19:31:00,195,0,79.2,77.0
2024-06-13 19:31:15,37.6,0,0,0
2024-06-13 19:31:30,81.9,81.4,0,0
2024-06-13 19:31:45,81.7,81.2,0,0
2024-06-13 19:32:00,81.9,81.5,0,0
