"Time","All machines","machine69","machine70","machine77"
2024-06-14 13:00:15,6264088,2177064,2043511,2043510
2024-06-14 13:00:30,6264088,2177064,2043512,2043512
2024-06-14 13:00:45,6264088,2177064,2043512,2043512
2024-06-14 13:01:00,6264088,2177064,2043512,2043512
2024-06-14 13:01:15,6264088,2177064,2043512,2043512
2024-06-14 13:01:30,6264088,2177064,2043512,2043512
2024-06-14 13:01:45,6264254,2177132,2043542,2043527
2024-06-14 13:02:00,6264348,2177132,2043638,2043638
2024-06-14 13:02:15,6264408,2177132,2043638,2043638
2024-06-14 13:02:30,6264408,2177132,2043638,2043638
2024-06-14 13:02:45,6264408,2177132,2043638,2043638
2024-06-14 13:03:00,6265193,2177132,2044330,2044326
2024-06-14 13:03:15,6265866,2177132,2044367,2044367
2024-06-14 13:03:30,6266140,2177132,2044503,2044503
2024-06-14 13:03:45,6267374,2177132,2044503,2044503
2024-06-14 13:04:00,6269455,2177132,2046342,2046342
2024-06-14 13:04:15,6270793,2178060,2046354,2046354
2024-06-14 13:04:30,6271739,2178527,2046698,2046694
2024-06-14 13:04:45,6272745,2178669,2047022,2046672
2024-06-14 13:05:00,6272909,2178715,2047038,2047038
2024-06-14 13:05:15,6274858,2178964,2047906,2047874
2024-06-14 13:05:30,6275436,2179327,2048132,2048111
2024-06-14 13:05:45,6276532,2180236,2048148,2048142
2024-06-14 13:06:00,6276540,2180236,2048307,2048146
2024-06-14 13:06:15,6277029,2180353,2048338,2048338
2024-06-14 13:06:30,6277029,2180353,2048338,2048338
2024-06-14 13:06:45,6276560,2179884,2048338,2048338
2024-06-14 13:07:00,6276826,2179884,2048473,2048469
2024-06-14 13:07:15,6276094,2179884,2048481,2048501
