"Time","All machines","machine69","machine70","machine77"
2024-06-14 13:00:15,1213,44.5,581,574
2024-06-14 13:00:30,1228,44.3,585,584
2024-06-14 13:00:45,268,44.4,112,218
2024-06-14 13:01:00,87.2,44.5,1.20,3.50
2024-06-14 13:01:15,0,0,0,0
2024-06-14 13:01:30,0,0,0,0
2024-06-14 13:01:45,193,81.8,35.7,17.3
2024-06-14 13:02:00,309,81.6,132,151
2024-06-14 13:02:15,360,82.1,134,149
2024-06-14 13:02:30,225,0,96.4,132
2024-06-14 13:02:45,34.0,0,16.9,36.8
2024-06-14 13:03:00,897,0,816,804
2024-06-14 13:03:15,1831,0,894,945
2024-06-14 13:03:30,2341,0,1197,656
2024-06-14 13:03:45,3460,0,1316,748
2024-06-14 13:04:00,4898,0,2547,2572
2024-06-14 13:04:15,5534,913,2205,2214
2024-06-14 13:04:30,6392,1512,1889,1796
2024-06-14 13:04:45,7279,1601,3674,3306
2024-06-14 13:05:00,5794,1056,2319,2315
2024-06-14 13:05:15,6844,548,3118,3091
2024-06-14 13:05:30,5815,1710,1335,1712
2024-06-14 13:05:45,5277,2748,1322,1320
2024-06-14 13:06:00,5032,2511,1505,1435
2024-06-14 13:06:15,4134,1230,1501,1587
2024-06-14 13:06:30,2796,139,1266,1340
2024-06-14 13:06:45,1614,232,686,1180
2024-06-14 13:07:00,409,118,160,157
2024-06-14 13:07:15,824,84.1,170,185
