"Time","All machines","machine69","machine70","machine77"
2024-06-14 13:00:15,353,242,232,232
2024-06-14 13:00:30,353,242,233,233
2024-06-14 13:00:45,353,242,231,232
2024-06-14 13:01:00,354,240,235,235
2024-06-14 13:01:15,354,240,232,234
2024-06-14 13:01:30,356,242,236,236
2024-06-14 13:01:45,359,247,238,237
2024-06-14 13:02:00,360,247,237,237
2024-06-14 13:02:15,361,247,238,237
2024-06-14 13:02:30,361,248,235,236
2024-06-14 13:02:45,364,249,235,236
2024-06-14 13:03:00,367,251,243,243
2024-06-14 13:03:15,365,251,240,240
2024-06-14 13:03:30,365,250,242,242
2024-06-14 13:03:45,367,249,242,242
2024-06-14 13:04:00,369,253,243,243
2024-06-14 13:04:15,368,253,241,240
2024-06-14 13:04:30,370,254,243,243
2024-06-14 13:04:45,369,251,244,244
2024-06-14 13:05:00,371,254,243,242
2024-06-14 13:05:15,372,256,245,245
2024-06-14 13:05:30,373,255,244,245
2024-06-14 13:05:45,370,251,243,243
2024-06-14 13:06:00,371,255,245,245
2024-06-14 13:06:15,370,251,245,244
2024-06-14 13:06:30,369,252,244,244
2024-06-14 13:06:45,368,251,242,243
2024-06-14 13:07:00,370,253,244,244
2024-06-14 13:07:15,370,249,244,244
