"Time","All machines","machine69","machine70","machine77"
2024-06-14 14:00:15,0.000462,0.000164,0.000149,0.000149
2024-06-14 14:00:30,0.000519,0.000175,0.000172,0.000172
2024-06-14 14:00:45,0.000519,0.000175,0.000172,0.000172
2024-06-14 14:01:00,0.000519,0.000175,0.000172,0.000172
2024-06-14 14:01:15,0.000519,0.000175,0.000172,0.000172
2024-06-14 14:01:30,0.000534,0.000183,0.000175,0.000175
2024-06-14 14:01:45,0.000534,0.000183,0.000175,0.000175
2024-06-14 14:02:00,0.000534,0.000183,0.000175,0.000175
2024-06-14 14:02:15,0.000534,0.000183,0.000175,0.000175
2024-06-14 14:02:30,0.00235,0.000797,0.000774,0.000778
2024-06-14 14:02:45,0.00235,0.000797,0.000774,0.000778
2024-06-14 14:03:00,0.00235,0.000797,0.000774,0.000778
2024-06-14 14:03:15,0.00235,0.000797,0.000774,0.000778
2024-06-14 14:03:30,0.00492,0.00166,0.00163,0.00163
2024-06-14 14:03:45,0.00492,0.00166,0.00163,0.00163
2024-06-14 14:04:00,0.00492,0.00166,0.00163,0.00163
2024-06-14 14:04:15,0.00492,0.00166,0.00163,0.00163
2024-06-14 14:04:30,0.00753,0.00254,0.00249,0.00249
2024-06-14 14:04:45,0.00753,0.00254,0.00249,0.00249
2024-06-14 14:05:00,0.00753,0.00254,0.00249,0.00249
2024-06-14 14:05:15,0.00753,0.00254,0.00249,0.00249
2024-06-14 14:05:30,0.0101,0.00342,0.00335,0.00335
2024-06-14 14:05:45,0.0101,0.00342,0.00335,0.00335
2024-06-14 14:06:00,0.0101,0.00342,0.00335,0.00335
2024-06-14 14:06:15,0.0101,0.00342,0.00335,0.00335
2024-06-14 14:06:30,0.0109,0.00368,0.00362,0.00362
2024-06-14 14:06:45,0.0109,0.00368,0.00362,0.00362
