"Time","Total","Peers","Orderers","Couchdb"
2024-06-14 14:00:15,1068899607,54810,6883,516
2024-06-14 14:00:30,1068943765,55755,7716,598
2024-06-14 14:00:45,1069014071,56486,8537,603
2024-06-14 14:01:00,1069058438,57171,9356,626
2024-06-14 14:01:15,1069139148,58307,10337,798
2024-06-14 14:01:30,1069203849,59621,11673,901
2024-06-14 14:01:45,1069923043,80573,24171,3638
2024-06-14 14:02:00,1070764421,108149,35846,8151
2024-06-14 14:02:15,1071914724,142458,58105,13630
2024-06-14 14:02:30,1072683386,161307,71250,18039
2024-06-14 14:02:45,1073555738,194782,86128,22419
2024-06-14 14:03:00,1073555738,194782,86128,22419
2024-06-14 14:03:15,1075397499,241881,123638,30969
2024-06-14 14:03:30,1076437311,281380,135607,37765
2024-06-14 14:03:45,1077707637,320968,154984,44687
2024-06-14 14:04:00,1078432538,348562,167003,48042
2024-06-14 14:04:15,1079673388,381831,190197,54658
2024-06-14 14:04:30,1080415629,401984,201497,58885
2024-06-14 14:04:45,1080976504,422180,212320,61282
2024-06-14 14:05:00,1081358689,435500,219792,64292
2024-06-14 14:05:15,1083614804,503913,256261,74435
2024-06-14 14:05:30,1084389528,524313,271123,77716
2024-06-14 14:05:45,1085118062,549192,281980,81715
2024-06-14 14:06:00,1085160966,549724,282711,81719
2024-06-14 14:06:15,1085231793,550524,283612,81764
2024-06-14 14:06:30,1085272177,551115,284305,81765
2024-06-14 14:06:45,1085340594,551870,285193,81815
