"Time","Total","Peers","Orderers"
2024-06-14 15:53:15,2.80,2.16,0.640
2024-06-14 15:53:30,2.94,2.28,0.660
2024-06-14 15:53:45,3.16,2.52,0.640
2024-06-14 15:54:00,3.42,2.72,0.700
2024-06-14 15:54:15,3.52,2.86,0.660
2024-06-14 15:54:30,3.72,3.08,0.640
2024-06-14 15:54:45,6.06,4.12,1.94
2024-06-14 15:55:00,28.8,24.0,4.82
2024-06-14 15:55:15,43.6,35.0,8.60
2024-06-14 15:55:30,66.8,55.5,11.3
2024-06-14 15:55:45,69.8,57.6,12.2
2024-06-14 15:56:00,69.8,57.4,12.4
2024-06-14 15:56:15,69.5,56.3,13.3
2024-06-14 15:56:30,74.6,60.7,13.9
2024-06-14 15:56:45,76.1,62.1,14.0
2024-06-14 15:57:00,71.8,57.9,13.9
2024-06-14 15:57:15,75.2,61.6,13.6
2024-06-14 15:57:30,75.4,61.7,13.7
2024-06-14 15:57:45,73.8,59.9,13.9
2024-06-14 15:58:00,76.4,62.3,14.1
2024-06-14 15:58:15,76.6,62.5,14.1
2024-06-14 15:58:30,76.4,62.3,14.2
2024-06-14 15:58:45,74.4,61.5,12.9
2024-06-14 15:59:00,49.4,39.9,9.44
2024-06-14 15:59:15,33.1,28.1,4.96
2024-06-14 15:59:30,6.54,5,1.54
2024-06-14 15:59:45,3.94,3.22,0.720
2024-06-14 16:00:00,3.66,3.02,0.640
